[2021-02-04 15:18:02] | DEBUG | 2 | Line:81
[2021-02-04 15:18:02] | DEBUG | 3 | Line:81
[2021-02-04 15:18:02] | DEBUG |  | Line:81
[2021-02-04 15:18:03] | DEBUG | 1;2;3; | Line:76
[2021-02-04 15:18:03] | DEBUG | 1 | Line:81
[2021-02-04 15:18:03] | DEBUG | 2 | Line:81
[2021-02-04 15:18:03] | DEBUG | 3 | Line:81
[2021-02-04 15:18:03] | DEBUG |  | Line:81
[2021-02-04 15:18:04] | DEBUG | 1;2;3; | Line:76
[2021-02-04 15:18:04] | DEBUG | 1 | Line:81
[2021-02-04 15:18:04] | DEBUG | 2 | Line:81
[2021-02-04 15:18:04] | DEBUG | 3 | Line:81
[2021-02-04 15:18:04] | DEBUG |  | Line:81
[2021-02-04 15:18:05] | DEBUG | 1;2;3; | Line:76
[2021-02-04 15:18:05] | DEBUG | 1 | Line:81
[2021-02-04 15:18:05] | DEBUG | 2 | Line:81
[2021-02-04 15:18:05] | DEBUG | 3 | Line:81
[2021-02-04 15:18:05] | DEBUG |  | Line:81
[2021-02-04 15:18:06] | DEBUG | 1;2;3; | Line:76
[2021-02-04 15:18:06] | DEBUG | 1 | Line:81
[2021-02-04 15:18:06] | DEBUG | 2 | Line:81
[2021-02-04 15:18:06] | DEBUG | 3 | Line:81
[2021-02-04 15:18:06] | DEBUG |  | Line:81
[2021-02-04 15:18:06] | DEBUG | Sending stop | Line:121
[2021-02-04 15:18:06] | DEBUG | task canceled | Line:68
[2021-02-04 15:18:26] | DEBUG | #;#;#; | Line:74
[2021-02-04 15:18:26] | DEBUG | # | Line:79
[2021-02-04 15:18:26] | DEBUG | # | Line:79
[2021-02-04 15:18:26] | DEBUG | # | Line:79
[2021-02-04 15:18:26] | DEBUG |  | Line:79
[2021-02-04 15:18:26] | DEBUG | Vettore non creato, valori scansionati:#;#;#; | Line:88
[2021-02-04 15:18:27] | DEBUG | #;#;#; | Line:74
[2021-02-04 15:18:27] | DEBUG | # | Line:79
[2021-02-04 15:18:27] | DEBUG | # | Line:79
[2021-02-04 15:18:27] | DEBUG | # | Line:79
[2021-02-04 15:18:27] | DEBUG |  | Line:79
[2021-02-04 15:18:27] | DEBUG | Vettore non creato, valori scansionati:#;#;#; | Line:88
[2021-02-04 15:18:28] | DEBUG | #;#;#; | Line:74
[2021-02-04 15:18:28] | DEBUG | # | Line:79
[2021-02-04 15:18:28] | DEBUG | # | Line:79
[2021-02-04 15:18:28] | DEBUG | # | Line:79
[2021-02-04 15:18:28] | DEBUG |  | Line:79
[2021-02-04 15:18:28] | DEBUG | Vettore non creato, valori scansionati:#;#;#; | Line:88
[2021-02-04 15:18:29] | DEBUG | #;#;#; | Line:74
[2021-02-04 15:18:29] | DEBUG | # | Line:79
[2021-02-04 15:18:29] | DEBUG | # | Line:79
[2021-02-04 15:18:29] | DEBUG | # | Line:79
[2021-02-04 15:18:29] | DEBUG |  | Line:79
[2021-02-04 15:18:29] | DEBUG | Vettore non creato, valori scansionati:#;#;#; | Line:88
[2021-02-04 15:18:30] | DEBUG | #;#;#; | Line:74
[2021-02-04 15:18:30] | DEBUG | # | Line:79
[2021-02-04 15:18:30] | DEBUG | # | Line:79
[2021-02-04 15:18:30] | DEBUG | # | Line:79
[2021-02-04 15:18:30] | DEBUG |  | Line:79
[2021-02-04 15:18:30] | DEBUG | Vettore non creato, valori scansionati:#;#;#; | Line:88
[2021-02-04 15:18:31] | DEBUG | Sending stop | Line:119
[2021-02-04 15:18:31] | DEBUG | task canceled | Line:66
[2021-02-04 15:19:40] | DEBUG | 1;2;3; | Line:74
[2021-02-04 15:19:40] | DEBUG | 1 | Line:79
[2021-02-04 15:19:40] | DEBUG | 2 | Line:79
[2021-02-04 15:19:40] | DEBUG | 3 | Line:79
[2021-02-04 15:19:40] | DEBUG |  | Line:79
[2021-02-04 15:19:41] | DEBUG | 1;2;3; | Line:74
[2021-02-04 15:19:41] | DEBUG | 1 | Line:79
[2021-02-04 15:19:41] | DEBUG | 2 | Line:79
[2021-02-04 15:19:41] | DEBUG | 3 | Line:79
[2021-02-04 15:19:41] | DEBUG |  | Line:79
[2021-02-04 15:19:42] | DEBUG | 1;2;3; | Line:74
[2021-02-04 15:19:42] | DEBUG | 1 | Line:79
[2021-02-04 15:19:42] | DEBUG | 2 | Line:79
[2021-02-04 15:19:42] | DEBUG | 3 | Line:79
[2021-02-04 15:19:42] | DEBUG |  | Line:79
[2021-02-04 15:19:43] | DEBUG | 1;2;3; | Line:74
[2021-02-04 15:19:43] | DEBUG | 1 | Line:79
[2021-02-04 15:19:43] | DEBUG | 2 | Line:79
[2021-02-04 15:19:43] | DEBUG | 3 | Line:79
[2021-02-04 15:19:43] | DEBUG |  | Line:79
[2021-02-04 15:19:44] | DEBUG | 1;2;3; | Line:74
[2021-02-04 15:19:44] | DEBUG | 1 | Line:79
[2021-02-04 15:19:44] | DEBUG | 2 | Line:79
[2021-02-04 15:19:44] | DEBUG | 3 | Line:79
[2021-02-04 15:19:44] | DEBUG |  | Line:79
[2021-02-04 15:19:44] | DEBUG | Sending stop | Line:119
[2021-02-04 15:19:44] | DEBUG | task canceled | Line:66
[2021-02-04 15:21:15] | DEBUG | 1;2;3; | Line:74
[2021-02-04 15:21:15] | DEBUG | 1 | Line:79
[2021-02-04 15:21:15] | DEBUG | 2 | Line:79
[2021-02-04 15:21:15] | DEBUG | 3 | Line:79
[2021-02-04 15:21:15] | DEBUG |  | Line:79
[2021-02-04 15:21:16] | DEBUG | 1;2;3; | Line:74
[2021-02-04 15:21:16] | DEBUG | 1 | Line:79
[2021-02-04 15:21:16] | DEBUG | 2 | Line:79
[2021-02-04 15:21:16] | DEBUG | 3 | Line:79
[2021-02-04 15:21:16] | DEBUG |  | Line:79
[2021-02-04 15:21:17] | DEBUG | 1;2;3; | Line:74
[2021-02-04 15:21:17] | DEBUG | 1 | Line:79
[2021-02-04 15:21:17] | DEBUG | 2 | Line:79
[2021-02-04 15:21:17] | DEBUG | 3 | Line:79
[2021-02-04 15:21:17] | DEBUG |  | Line:79
[2021-02-04 15:21:18] | DEBUG | 1;2;3; | Line:74
[2021-02-04 15:21:18] | DEBUG | 1 | Line:79
[2021-02-04 15:21:18] | DEBUG | 2 | Line:79
[2021-02-04 15:21:18] | DEBUG | 3 | Line:79
[2021-02-04 15:21:18] | DEBUG |  | Line:79
[2021-02-04 15:21:19] | DEBUG | 1;2;3; | Line:74
[2021-02-04 15:21:19] | DEBUG | 1 | Line:79
[2021-02-04 15:21:19] | DEBUG | 2 | Line:79
[2021-02-04 15:21:19] | DEBUG | 3 | Line:79
[2021-02-04 15:21:19] | DEBUG |  | Line:79
[2021-02-04 15:21:20] | DEBUG | Sending stop | Line:113
[2021-02-04 15:21:20] | DEBUG | task canceled | Line:66
[2021-02-04 15:22:12] | DEBUG | Sending stop | Line:109
[2021-02-04 15:22:13] | DEBUG | task canceled | Line:62
[2021-02-04 15:22:22] | DEBUG | 1;2;3; | Line:70
[2021-02-04 15:22:22] | DEBUG | 1 | Line:75
[2021-02-04 15:22:22] | DEBUG | 2 | Line:75
[2021-02-04 15:22:22] | DEBUG | 3 | Line:75
[2021-02-04 15:22:22] | DEBUG |  | Line:75
[2021-02-04 15:22:22] | DEBUG | <1' 2' 3> | Line:79
[2021-02-04 15:22:23] | DEBUG | 1;2;3; | Line:70
