[2021-02-11 14:42:04] | DEBUG | Prova | Line:22
[2021-02-11 14:51:49] | INFO | Il server sta aspettando una connessione... | Line:41
[2021-02-11 14:52:52] | INFO | Il server è in attesa di una connessione... | Line:41
[2021-02-11 14:58:32] | INFO | Il server System.Net.IPHostEntry è stato creato con la porta 12345 | Line:34
[2021-02-11 14:58:32] | INFO | Il server è in attesa di una connessione... | Line:42
[2021-02-11 14:58:52] | INFO | Il server 430-09.CPT.local è stato creato con la porta 12345 | Line:34
[2021-02-11 14:58:52] | INFO | Il server è in attesa di una connessione... | Line:42
[2021-02-11 15:00:44] | INFO | Il server 430-09.CPT.local è stato creato con la porta 12345 | Line:34
[2021-02-11 15:00:44] | ERROR | Index (zero based) must be greater than or equal to zero and less than the size of the argument list. | Line:38
[2021-02-11 15:00:44] | DEBUG | Prova | Line:54
[2021-02-11 15:01:06] | INFO | Il server 430-09.CPT.local è stato creato con la porta 12345 | Line:34
[2021-02-11 15:01:06] | DEBUG | Il socket del server 430-09.CPT.local invia i dati tramite il protocollo Tcp | Line:38
[2021-02-11 15:01:06] | INFO | Il server è in attesa di una connessione... | Line:44
[2021-02-11 15:01:29] | INFO | Il server 430-09.CPT.local è stato creato con la porta 12345 | Line:34
[2021-02-11 15:01:29] | DEBUG | Il socket del server 430-09.CPT.local invia i dati tramite il protocollo Tcp | Line:38
[2021-02-11 15:01:29] | INFO | Il server è in attesa di una connessione... | Line:44
[2021-02-11 15:10:54] | INFO | 143 | Line:29
[2021-02-11 15:10:54] | DEBUG | Prova | Line:59
[2021-02-11 15:10:54] | INFO | Il server 430-09.CPT.local è stato creato con la porta 12345 | Line:38
[2021-02-11 15:10:54] | DEBUG | Il socket del server 430-09.CPT.local invia i dati tramite il protocollo Tcp | Line:42
[2021-02-11 15:10:54] | INFO | Il server è in attesa di una connessione... | Line:48
[2021-02-11 15:17:59] | INFO | Il server 430-09.CPT.local è stato creato con la porta 12345 | Line:37
[2021-02-11 15:17:59] | DEBUG | Prova | Line:59
[2021-02-11 15:17:59] | DEBUG | Il socket del server 430-09.CPT.local invia i dati tramite il protocollo Tcp | Line:41
[2021-02-11 15:17:59] | INFO | Il server è in attesa di una connessione... | Line:47
[2021-02-11 15:18:26] | INFO | Il server 430-09.CPT.local è stato creato con la porta 12345 | Line:36
[2021-02-11 15:18:26] | DEBUG | Prova | Line:59
[2021-02-11 15:18:26] | DEBUG | Il socket del server 430-09.CPT.local invia i dati tramite il protocollo Tcp | Line:40
[2021-02-11 15:18:26] | INFO | Il server è in attesa di una connessione... | Line:46
[2021-02-11 15:29:54] | DEBUG | Prova | Line:60
[2021-02-11 15:29:54] | INFO | Il server 430-09.CPT.local è stato creato con la porta 12345 | Line:40
[2021-02-11 15:29:54] | DEBUG | Il socket del server 430-09.CPT.local invia i dati tramite il protocollo Tcp | Line:43
[2021-02-11 15:29:54] | INFO | Il server è in attesa di una connessione... | Line:49
